City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
158,Souillac,MU,-20.5167,57.5167,79.36,89,40,11.5,scattered clouds
159,Red Bluff,US,40.1785,-122.2358,70.48,22,0,8.05,clear sky
160,Kapaa,US,22.0752,-159.319,74.19,77,37,1.01,light rain
161,Krasnoarmeysk,RU,51.0239,45.6969,14.11,96,100,4.56,overcast clouds
162,Ofunato,JP,39.0717,141.7167,26.92,68,15,9.91,few clouds
163,Aasiaat,GL,68.7098,-52.8699,-0.35,91,100,1.52,overcast clouds
164,Bacoli,IT,40.7995,14.0783,56.64,84,100,11.5,overcast clouds
165,Tautira,PF,-17.7333,-149.15,86.02,76,61,21.32,light rain
166,La Reforma,MX,25.0833,-108.05,76.75,43,13,9.4,few clouds
167,Oxford,GB,51.7522,-1.256,47.8,77,75,1.99,broken clouds
168,Zabaykalsk,RU,49.6333,117.3167,-2.72,98,74,5.88,broken clouds
169,Paamiut,GL,61.994,-49.6678,6.69,76,100,11.52,overcast clouds
170,Felipe Carrillo Puerto,MX,19.5833,-88.05,80.33,67,43,4.16,scattered clouds
171,Mar Del Plata,AR,-38.0023,-57.5575,66.22,91,100,24.0,light rain
172,Kodiak,US,57.79,-152.4072,33.87,84,100,6.82,overcast clouds
173,Srednekolymsk,RU,67.45,153.6833,-36.83,100,58,1.28,broken clouds
174,Veraval,IN,20.9,70.3667,67.21,71,6,9.35,clear sky
175,Barcelos,PT,41.5388,-8.6151,54.84,67,100,4.92,overcast clouds
176,Koutiala,ML,12.3917,-5.4642,83.1,8,0,7.9,clear sky
177,Paragominas,BR,-2.9667,-47.4833,82.81,81,97,3.85,heavy intensity rain
178,Laguna,US,38.421,-121.4238,64.96,62,0,1.01,clear sky
179,Tubuala,PA,9.5167,-79.0333,91.56,65,14,11.5,few clouds
180,Pangnirtung,CA,66.1451,-65.7125,-31.0,68,75,0.0,broken clouds
181,Quelimane,MZ,-17.8786,36.8883,74.05,96,97,4.41,light rain
182,Clyde,US,41.3042,-82.9752,35.38,66,6,14.47,clear sky
183,Coquimbo,CL,-29.9533,-71.3436,69.73,67,41,5.99,scattered clouds
184,Maksatikha,RU,57.797,35.8825,20.07,96,99,5.97,overcast clouds
185,Antalaha,MG,-14.9003,50.2788,76.8,85,100,4.97,overcast clouds
186,Comodoro Rivadavia,AR,-45.8667,-67.5,76.86,31,0,13.8,clear sky
187,Arman,RU,59.7,150.1667,-0.94,71,4,10.98,clear sky
188,Luderitz,NA,-26.6481,15.1594,68.31,75,11,4.7,few clouds
189,Alofi,NU,-19.0595,-169.9187,75.09,94,100,4.61,overcast clouds
190,Marzuq,YE,14.4,46.4667,65.86,32,100,1.74,overcast clouds
191,Port Elizabeth,ZA,-33.918,25.5701,78.1,88,20,17.27,light rain
192,Cockburn Town,TC,21.4612,-71.1419,80.56,44,20,14.97,few clouds
193,Korla,CN,41.7597,86.1469,23.95,46,8,5.08,clear sky
194,Yeppoon,AU,-23.1333,150.7333,67.78,76,10,13.24,clear sky
195,Faya,SA,18.3851,42.4509,53.71,77,6,1.81,clear sky
196,Dubuque,US,42.4833,-90.8668,36.63,58,70,9.42,broken clouds
197,Walvis Bay,NA,-22.9575,14.5053,74.35,68,100,4.61,overcast clouds
198,Abbeville,FR,50.1,1.8333,52.5,79,100,27.89,overcast clouds
199,Tateyama,JP,34.9833,139.8667,34.02,50,98,10.69,overcast clouds
200,Yagodnoye,RU,62.55,149.6667,-25.64,72,5,2.98,clear sky
201,Voi,KE,-3.3945,38.563,76.77,74,100,5.82,moderate rain
202,Boo,SE,59.3333,18.2833,34.77,83,0,6.91,clear sky
203,Ostrovnoy,RU,68.0531,39.5131,13.96,86,98,22.37,overcast clouds
204,Severobaykalsk,RU,55.65,109.3167,3.43,88,98,5.32,overcast clouds
205,Hofn,IS,64.2539,-15.2082,27.0,67,0,16.11,clear sky
206,Sanary-Sur-Mer,FR,43.1178,5.8001,55.92,53,72,7.0,broken clouds
207,Margate,GB,51.3813,1.3862,50.31,66,60,11.99,broken clouds
208,Koryazhma,RU,61.3143,47.1691,16.93,96,100,4.81,overcast clouds
209,Saint-Joseph,RE,-21.3667,55.6167,77.38,78,98,11.07,overcast clouds
210,Merauke,ID,-8.4667,140.3333,80.06,84,100,8.32,overcast clouds
211,Kismayo,SO,-0.3582,42.5454,78.48,81,80,16.4,broken clouds
212,Peiting,DE,47.8,10.9333,43.81,93,100,29.93,overcast clouds
213,Bilibino,RU,68.0546,166.4372,-17.84,77,2,4.25,clear sky
214,Caravelas,BR,-17.7125,-39.2481,83.34,65,7,10.25,clear sky
215,Neuquen,AR,-38.9516,-68.0591,86.43,12,4,10.92,clear sky
216,Togur,RU,58.3631,82.8265,5.47,96,100,4.56,overcast clouds
217,Kahului,US,20.8947,-156.47,76.84,82,19,8.01,few clouds
218,Airai,TL,-8.9266,125.4092,60.82,89,92,1.16,overcast clouds
219,Ugoofaaru,MV,5.6667,73.0,81.19,67,68,10.2,broken clouds
220,Santa Marinella,IT,42.0345,11.8536,54.91,94,2,10.18,clear sky
221,Niquelandia,BR,-14.4739,-48.4597,73.2,93,100,3.11,moderate rain
222,Tananger,NO,58.9333,5.6,39.34,83,75,19.57,broken clouds
223,Abu Zabad,SD,12.35,29.25,64.99,17,4,14.52,clear sky
224,Puerto Del Rosario,ES,28.5004,-13.8627,65.95,82,20,18.41,few clouds
225,Meulaboh,ID,4.1363,96.1285,76.14,90,100,6.53,overcast clouds
226,Nishihara,JP,26.1842,127.7558,58.28,58,100,9.22,overcast clouds
227,Kushima,JP,31.4583,131.2333,35.11,68,80,5.7,broken clouds
228,Chake Chake,TZ,-5.2459,39.7666,79.56,83,100,5.37,overcast clouds
229,Lagos,NG,6.5833,3.75,84.52,82,0,5.14,clear sky
230,Gat,IL,31.61,34.7642,54.91,83,0,5.59,clear sky
231,Berdigestyakh,RU,62.0989,126.6992,-23.35,100,95,4.21,overcast clouds
232,Russell,US,32.3502,-85.1999,55.96,53,44,6.64,scattered clouds
233,Zhigansk,RU,66.7697,123.3711,-25.56,99,96,6.49,overcast clouds
234,Khuzhir,RU,53.1939,107.3397,12.96,88,80,5.14,broken clouds
235,Chiredzi,ZW,-21.05,31.6667,78.55,49,100,6.69,overcast clouds
236,Sur,OM,22.5667,59.5289,71.17,71,0,6.67,clear sky
237,Daugai,LT,54.3667,24.3333,34.83,98,100,13.02,light snow
238,Shakawe,BW,-18.3667,21.85,69.91,75,90,4.59,overcast clouds
239,Guaruja,BR,-23.9931,-46.2564,96.66,41,0,6.91,clear sky
240,Freeport,US,40.6576,-73.5832,33.19,63,96,1.99,overcast clouds
241,Denpasar,ID,-8.65,115.2167,78.46,94,20,1.14,few clouds
242,Khorixas,NA,-20.3667,14.9667,75.79,49,95,14.54,overcast clouds
243,Warmbad,NA,-28.45,18.7333,76.24,50,100,23.02,light rain
244,Sao Joao Da Barra,BR,-21.6403,-41.0511,79.84,81,1,18.86,clear sky
245,Havre-Saint-Pierre,CA,50.2334,-63.5986,5.59,51,0,16.11,clear sky
246,Bonfim,BR,3.0833,-59.95,87.75,45,96,3.2,overcast clouds
