City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
369,Lagoa,PT,60.19,few clouds,39.05,-27.9833,Casa Das Faias
376,Pacific Grove,US,67.39,clear sky,36.6177,-121.9166,Lovers Point Inn
377,Lanja,IN,64.53,scattered clouds,16.85,73.55,Naivedyam Farmstay
379,Curuca,BR,78.82,overcast clouds,-0.7289,-47.8481,Hotel Curuça
384,Rabo De Peixe,PT,62.28,scattered clouds,37.8,-25.5833,Quinta das Giestas
385,Awbari,LY,60.64,overcast clouds,26.5921,12.7805,فندق أوباري
390,Port Moresby,PG,75.74,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
392,Port Shepstone,ZA,74.25,scattered clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
395,Pangkalanbuun,ID,74.39,light rain,-2.6833,111.6167,Grand Kecubung Hotel
401,Palapye,BW,73.72,broken clouds,-22.546,27.1251,Camp Itumela
405,Luganville,VU,77.88,heavy intensity rain,-15.5333,167.1667,The Espiritu Hotel
407,Penjamo,MX,74.66,clear sky,20.4333,-101.7333,Hotel - San Miguel
414,Kaeo,NZ,73.33,overcast clouds,-35.1,173.7833,Bushido Lodge
415,Kailua,US,76.14,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
417,Ixtapa,MX,76.23,few clouds,20.7,-105.2,Hotel Plaza Providencia
419,Ilebo,CD,75.56,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
422,Apiai,BR,69.08,overcast clouds,-24.5094,-48.8425,Pousada Villa Branca
423,Bondowoso,ID,74.28,overcast clouds,-7.9135,113.8214,Anugerah Hotel Bondowoso
426,Rawson,AR,75.85,clear sky,-43.3002,-65.1023,Hosteria Sampedro
427,Warrnambool,AU,59.81,clear sky,-38.3833,142.4833,Lady Bay Resort
432,Port Blair,IN,78.66,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
437,Kawalu,ID,73.31,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
443,Razole,IN,68.02,broken clouds,16.4833,81.8333,Sterling Palavelli Godavari
452,Arraial Do Cabo,BR,78.26,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
453,Talara,PE,75.34,scattered clouds,-4.5772,-81.2719,Hostal Oro Negro
454,Betong,TH,69.31,overcast clouds,5.7743,101.0723,New Cathay Hotel
455,Moussoro,TD,71.11,clear sky,13.6408,16.4901,Hôtel Salama
457,Popondetta,PG,74.23,overcast clouds,-8.7537,148.2534,Timos Transit House
463,Elat,IL,58.62,clear sky,29.5581,34.9482,Club Hotel Eilat
468,Jalapa,MX,64.94,scattered clouds,19.5333,-96.9167,Hotel Mision Xalapa Plaza de las Convenciones
470,Pemangkat,ID,77.2,overcast clouds,1.1667,108.9667,Ramah Kost KITA
471,Mareeba,AU,70.45,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
472,Digha,IN,65.12,overcast clouds,21.6833,87.55,Khoniker Atithi
475,Itoman,JP,59.02,overcast clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
478,Bulolo,PG,68.47,overcast clouds,-7.2,146.65,Pine Lodge Bulolo
479,General Pico,AR,78.57,clear sky,-35.6566,-63.7568,Euskadi Hotel
480,Sabang,ID,77.0,overcast clouds,5.8933,95.3214,Hotel Citra
482,Watsa,CD,69.4,overcast clouds,3.0372,29.5355,Hôtel Le Pacifique
